Date,Hs,P,W
"2012-6-14-15",1.1080,101830.0000,4.7000
"2012-6-14-16",1.1514,101730.0000,4.1000
"2012-6-14-17",1.0992,101700.0000,3.5000
"2012-6-14-18",1.1664,101680.0000,2.8000
"2012-6-14-19",1.1116,101680.0000,1.6000
"2012-6-14-20",1.2212,101660.0000,1.1000
"2012-6-14-21",1.1208,101690.0000,0.8000
"2012-6-14-22",1.2502,101710.0000,0.8000
"2012-6-14-23",1.1549,101750.0000,1.1000
"2012-6-15-0",1.1810,101760.0000,2.9000
"2012-6-15-1",1.1150,101730.0000,4.5000
"2012-6-15-2",1.1826,101680.0000,5.4000
"2012-6-15-3",1.1367,101640.0000,6.5000
"2012-6-15-4",1.0954,101600.0000,6.8000
"2012-6-15-5",1.1892,101590.0000,5.8000
"2012-6-15-6",1.1866,101540.0000,6.1000
"2012-6-15-7",1.2534,101520.0000,6.4000
"2012-6-15-8",1.0979,101490.0000,7.2000
"2012-6-15-9",1.1696,101480.0000,7.6000
"2012-6-15-10",1.1896,101500.0000,7.5000
"2012-6-15-11",1.2481,101540.0000,7.7000
"2012-6-15-12",1.1715,101570.0000,6.9000
"2012-6-15-13",1.2789,101580.0000,6.8000
"2012-6-15-14",1.2422,101590.0000,7.4000
"2012-6-15-15",1.2308,101580.0000,7.7000
"2012-6-15-16",1.2325,101540.0000,7.9000
"2012-6-15-17",1.2478,101490.0000,7.6000
"2012-6-15-18",1.2374,101480.0000,7.2000
"2012-6-15-19",1.1951,101450.0000,6.9000
"2012-6-15-20",1.1612,101400.0000,6.9000
"2012-6-15-21",1.1797,101440.0000,6.4000
"2012-6-15-22",1.0728,101470.0000,5.6000
"2012-6-15-23",1.0228,101500.0000,5.4000
"2012-6-16-0",1.0150,101550.0000,5.6000
"2012-6-16-1",1.0015,101570.0000,6.1000
"2012-6-16-2",1.0283,101570.0000,4.8000
"2012-6-16-3",0.9771,101520.0000,7.7000
"2012-6-16-4",1.0393,101560.0000,5.2000
"2012-6-16-5",1.0440,101450.0000,6.0000
"2012-6-16-6",1.0523,101420.0000,6.9000
"2012-6-16-7",1.1613,101430.0000,4.9000
"2012-6-16-8",1.0155,101440.0000,8.3000
"2012-6-16-9",1.1405,101400.0000,7.2000
"2012-6-16-10",1.1559,101490.0000,5.4000
"2012-6-16-11",1.1012,101550.0000,3.9000
"2012-6-16-12",1.0504,101570.0000,4.8000
"2012-6-16-13",1.0373,101540.0000,5.3000
"2012-6-16-14",1.0673,101580.0000,4.9000
"2012-6-16-15",1.0922,101590.0000,5.9000
"2012-6-16-16",1.0902,101550.0000,7.9000
"2012-6-16-17",1.1022,101520.0000,8.0000
"2012-6-16-18",1.1275,101480.0000,8.3000
"2012-6-16-19",1.2536,101390.0000,9.0000
"2012-6-16-20",1.3445,101320.0000,9.2000
"2012-6-16-21",1.4130,101300.0000,8.9000
"2012-6-16-22",1.4268,101310.0000,8.5000
"2012-6-16-23",1.4092,101420.0000,6.7000
"2012-6-17-0",1.4237,101490.0000,4.8000
"2012-6-17-1",1.4269,101550.0000,6.1000
"2012-6-17-2",1.3566,101610.0000,3.0000
"2012-6-17-3",1.7209,101490.0000,1.7000
"2012-6-17-4",1.7516,101440.0000,1.6000
"2012-6-17-5",1.7761,101450.0000,0.4000
"2012-6-17-6",1.8421,101400.0000,1.5000
"2012-6-17-7",1.7515,101390.0000,0.9000
"2012-6-17-8",1.8770,101330.0000,2.1000
"2012-6-17-9",1.6825,101410.0000,3.8000
"2012-6-17-10",1.6468,101440.0000,1.0000
"2012-6-17-11",1.5732,101490.0000,0.6000
